Column,Description
AgeX,"A numeric value; the age of diagnosis for cancer X, where X is a short cancer code for one of the PanelPRO cancers (see panelpro-cancers-abbreviations.csv or, in R, as.data.frame(PanelPRO:::CANCER_NAME_MAP)). Information for non-PanelPRO cancers are stored in the ""cancersJSON"" column. Ages ranging from 1 to 94 are allowed in PanelPRO but, are limited to 1 to 89 in PPI due to PPI""s data privacy policy. If the individual was not diagnosed for a given cancer or if the diagnosis age is unknown, their affection age should be encoded as NA and will be ignored otherwise."
cancersJSON,"A JSON string which contains a complete cancer history for the relative that includes PanelPRO and non-Panel cancer diagnoses and ages of diagnoses. This string can be converted into a R data frame using the jsonlite::fromJSON() function with the ""simplifyDataFrame"" arguement set to ""TRUE""."
FirstBCType,"Breast cancer type of the first primary breast cancer. The only options are ""Invasive"" for pure invasive and ""Invasive_DCIS"" for mixed invasive and DCIS. There is no option for pure DCIS because PanelPRO only considers invasive breast cancers. Use NA if no first primary breast cancer or unknown type."
AntiEstrogen,"Anti-estrogen therapy used to treat first primary breast cancer. The options are 0 for no, 1 for yes, and NA for unknown or for those never diagnosed with breast cancer."
HRPreneoplasia,"History of high risk preneoplasia (ie atypical hyperplasia or LCIS). The options are 0 for no, 1 for yes, and NA for unknown or for those never diagnosed with breast cancer."
BreastDensity,"BI-RADS breast density descriptor. The options are the letters a through d. a = almost entirely fatty, b = scattered areas of fibroglandular density, c = heterogeneously dense, and d = extremely dense. If the breast density is unknown, use NA."
FirstBCTumorSize,"Size category of the first primary breast cancer tumor. The only options are ""T0/T1/T2"", ""T3/T4"", ""Tis"". Use NA for unknown tumor size or if there was no first primary breast cancer."
PanelPRO gene columns,"Each PanelPRO gene (see either panelpro-gene-list.csv or, in R, PanelPRO:::GENE_TYPES) has its own column which indicates where the gene was tested and what the result was. Expected values are NA for not tested, 0 for tested but not P/LP, and 1 for tested and found to be P/LP. Note the column ""genesJSON"" contains all panel and gene result details for both PanelPRO and non-PanelPRO genes."
panelNames,"A character string containing the names of the germline genetic testing panels the relative was tested for. If tested for multiple panels, the panel names are separated by a comma."
genesJSON,"A JSON string which contains all panel and gene information for the relative that includes PanelPRO and non-Panel genes by panel name, gene, result type (P/LP, VUS, B/LB, or negative), nucleotide information, protein information, and zygosity. This string can be converted into a R data frame using the jsonlite::fromJSON() function with the ""simplifyDataFrame"" arguement set to ""TRUE""."
